url,y_title,join_title
https://www.youtube.com/watch?v=zgPShc0A5Ys&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=2&t=0s,세상에 나쁜 개는 없다 - 유기견의 천국! 그곳에 무슨 일이? #예고,유기견의천
https://www.youtube.com/watch?v=Xvm97VJv9RQ&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=3&t=0s,"세상에 나쁜 개는 없다 - 외국인은 물러나시개, 흥선犬원군, 남돌_#003",외국인은물
https://www.youtube.com/watch?v=lXVDGZGbb_k&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=4&t=0s,"세상에 나쁜 개는 없다 - 외국인은 물러나시개, 흥선犬원군, 남돌_#001",외국인은물
https://www.youtube.com/watch?v=SIDndkMuknc&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=5&t=0s,"세상에 나쁜 개는 없다 - 외국인은 물러나시개, 흥선犬원군, 남돌_#002",외국인은물
https://www.youtube.com/watch?v=YvrVNNZsfP8&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=6&t=0s,"세상에 나쁜 개는 없다 - 공격이 체질, 별이! #예고",공격이체질
https://www.youtube.com/watch?v=xjLBaYOSQs0&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=7&t=0s,"세상에 나쁜 개는 없다-외국인은 물러나시개 흥선개원군, 남돌 #예고",세상에나쁜
https://www.youtube.com/watch?v=5-m43y0vDTY&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=8&t=0s,세상에 나쁜 개는 없다 - 앵그리 칸쵸- 매운맛을 보여 주마!_#001,앵그리칸쵸
https://www.youtube.com/watch?v=o7AmP2SUIII&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=9&t=0s,세상에 나쁜 개는 없다 - 앵그리 칸쵸- 매운맛을 보여 주마!_#002,앵그리칸쵸
https://www.youtube.com/watch?v=-6Gqze1RCtY&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=10&t=0s,세상에 나쁜 개는 없다 - 앵그리 칸쵸- 매운맛을 보여 주마!_#003,앵그리칸쵸
https://www.youtube.com/watch?v=sLz3iLR3Anw&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=11,[비공개 동영상],[비공개동
https://www.youtube.com/watch?v=DkUjxUXZydU&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=12&t=0s,세상에 나쁜 개는 없다 - 치와와 가족의 위기- 엄마는 싸이코_#001,치와와가족
https://www.youtube.com/watch?v=eYwTILR4OKo&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=13&t=0s,세상에 나쁜 개는 없다 - 치와와 가족의 위기- 엄마는 싸이코_#002,치와와가족
https://www.youtube.com/watch?v=xtl45BsxLOc&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=14&t=0s,세상에 나쁜 개는 없다 - 치와와 가족의 위기- 엄마는 싸이코_#003,치와와가족
https://www.youtube.com/watch?v=ujRfJ4EQedk&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=15&t=0s,세상에 나쁜 개는 없다-앵그리 칸쵸! 매운맛을 보여주마 #예고,세상에나쁜
https://www.youtube.com/watch?v=-NTfDfmUlZs&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=16&t=0s,세상에 나쁜 개는 없다 - 오 마이 독 아리는 우울해_#001,오마이독아
https://www.youtube.com/watch?v=_QKd1SjTaZ8&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=17&t=0s,세상에 나쁜 개는 없다 - 오 마이 독 아리는 우울해_#002,오마이독아
https://www.youtube.com/watch?v=GdHGFvEmBHU&list=PLpuzWnAKjQgBBH113_kOsBGCZO8MVNazu&index=18&t=0s,세상에 나쁜 개는 없다 - 오 마이 독 아리는 우울해_#003,오마이독아
